date,code,shares_wan,source
2026-09-01,159845,198042.56,szse
2026-09-01,159915,1904445.49,szse
2026-09-01,159919,623001.66,szse
2026-09-01,159922,269967.67,szse
2026-09-02,159845,189642.56,szse
2026-09-02,159915,1948045.49,szse
2026-09-02,159919,622641.66,szse
2026-09-02,159922,267767.67,szse
2026-09-03,159845,196542.56,szse
2026-09-03,159915,1982845.49,szse
2026-09-03,159919,623541.66,szse
2026-09-03,159922,269967.67,szse
2026-09-04,159845,221442.56,szse
2026-09-04,159915,2008945.49,szse
2026-09-04,159919,625341.66,szse
2026-09-04,159922,268867.67,szse
2026-09-07,159845,249942.56,szse
2026-09-07,159915,1929145.49,szse
2026-09-07,159919,628761.66,szse
2026-09-07,159922,279667.67,szse
2026-09-08,159845,243342.56,szse
2026-09-08,159915,1936445.49,szse
2026-09-08,159919,625701.66,szse
2026-09-08,159922,276867.67,szse
2026-09-09,159845,231642.56,szse
2026-09-09,159915,1935645.49,szse
2026-09-09,159919,624711.66,szse
2026-09-09,159922,276667.67,szse
2026-09-10,159845,234642.56,szse
2026-09-10,159915,1944845.49,szse
2026-09-10,159919,624351.66,szse
2026-09-10,159922,274467.67,szse
2026-09-11,159845,214842.56,szse
2026-09-11,159915,1968245.49,szse
2026-09-11,159919,626241.66,szse
2026-09-11,159922,263667.67,szse
2026-09-14,159845,208542.56,szse
2026-09-14,159915,1977845.49,szse
2026-09-14,159919,631101.66,szse
2026-09-14,159922,263567.67,szse
2026-09-15,159845,210642.56,szse
2026-09-15,159915,2030545.49,szse
2026-09-15,159919,633711.66,szse
2026-09-15,159922,266467.67,szse
2026-09-16,159845,250542.56,szse
2026-09-16,159915,2028345.49,szse
2026-09-16,159919,634161.66,szse
2026-09-16,159922,281967.67,szse
2026-09-17,159845,249042.56,szse
2026-09-17,159915,1999545.49,szse
2026-09-17,159919,634071.66,szse
2026-09-17,159922,280467.67,szse
2026-09-18,159845,240642.56,szse
2026-09-18,159915,1985945.49,szse
2026-09-18,159919,632901.66,szse
2026-09-18,159922,284067.67,szse
